id,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0,5.22241107435e-05,8.51252346616e-06,0.00070783116633,4612.49146297,0.00213106374286,0.107762926625,0.000812198289737,0.00103317791591,0.000946238831361,7.53933731672e-05
1,3.31966142439e-05,0.455468160508,4.2490900822e-15,3.18708416405e-09,4.1927180616e-12,8.46648360119e-09,1.50506637266e-10,1.06167099597e-13,25307501329.2,0.00012158576362
2,0.353061541125,0.160064396032,0.0119612663087,0.0431204130302,0.00236104101554,0.00405375577029,0.0429805554086,0.00137584468531,73.6938688617,2.25058447582
3,11955.8058243,0.00395177357857,0.0465137204712,7.58041063529e-05,0.00181000450405,3.82588209496e-06,2.33925804762e-05,6.83356945721e-06,4.39206554692,0.000531373570551
4,4.05095893377e-09,5.2673298439e-08,0.00037945888858,0.0141010894362,0.00502247808195,1.00623182503e-07,8199215.10165,6.39346978023e-13,4.41252391703e-05,1.78731497328e-07
5,1.83172598919e-08,0.00013888364184,9.87893425212e-05,0.141554547996,0.000382903424283,0.00170331275547,111269.869159,2.33034244647e-07,6.06700935073e-06,6.29882026901e-06
6,2.11979875203e-05,9353.95649665,1.62290688441e-05,0.00142893129984,6.3988697947e-05,0.488196194418,0.000110159664396,0.0132292181891,4.07746480761e-06,4.34011356405
7,4.69323378052e-07,1.03656337619e-09,0.00345982329617,0.0480383955454,0.00405312566734,0.000472085714266,291529.149754,1.05065669925e-06,1.81443999042e-05,3.17055634363e-07
8,1.37557935718e-10,6.1373916816e-11,4.80907072402e-10,5598032.30703,0.00531325954487,0.107312603866,8.99474732561e-06,4.92676677577e-07,1.63278956417e-07,2.64483805586e-05
9,1.9905082958e-07,64599606.1555,1.25814244273e-09,1.41183239462e-08,8.24455528767e-10,4.92653905982e-06,0.00569330055012,9.44668448638e-09,0.00128474123781,1.65693672385
10,1526.29767509,1.85842051755e-06,0.00703940860545,2.47086269991,0.00218231004142,0.729095247635,0.000377755733373,5.2804399135e-05,0.00797277824159,4.65646886695e-06
11,1.95215594455e-14,0.00146024860751,4.66678013774e-24,9.408427978e-26,1.6368437952e-25,1.37688080449e-22,9.75745057314e-21,1.35856677892e-16,8.5850876119e-18,1.54611682839e+25
12,6.15608045939e-07,4.80984617662e-08,0.00113154470828,0.0218101390054,1.29004025251,13798.7117177,0.00134358817799,0.838698952103,6.20330691427e-08,2.89015205171e-07
13,1.79549611201e-15,2.8613988121e-13,1.10765940262e-15,9.32933943023e-18,4.22240937387e-13,0.000918516541071,2.62706126121e-23,1.41123381634e+17,1.15778098037e-19,7.1754673844e-13
14,1.12136630232e-11,0.0043722544059,9.871315975e-18,5.83646801064e-15,6.15605226884e-16,9.9307902098e-13,3.94732335027e-18,1.00903614383e-14,6.1688538883e-08,1.88871952921e+16
15,0.00225215524671,2.09909117519e-06,0.000341386982732,0.00308758090161,0.011164841606,0.000137475077856,33.6941171062,3.63023674698e-06,2475.27303861,1.86601980364e-06
16,4.94357163311e-06,2.87142226894e-06,7.66145408457e-05,0.373817989728,1.70448749672e-05,31898.8756534,6.4509267147e-05,0.0673832313474,7.5969291115e-06,2.48424475821e-05
17,1.41122806798e-06,3.35399417066e-07,0.00282455941613,1.64448140525,0.000242368720241,0.0344013434273,0.00166706393549,7179.94096687,7.61904059661e-05,0.0175674249636
18,8.41505876324e-06,7.72021038037e-07,1.2075239336e-15,3.93063998892e-09,8.07786497416e-13,1.55009322113e-10,1.3873428335e-12,2.48815378165e-15,1.15950812803e+13,3.75552493397e-09
19,4.59163149132e-10,3.95893066411e-07,5.18439202939e-06,0.000224010388379,2.8431894037e-06,1.14965368405e-09,3849499411.7,1.8554475109e-15,9.45425031861e-10,1.19036147635e-08
20,0.000721211835597,2.31235708164,0.000232037773653,0.0250816354943,0.0314166050948,0.0688327125604,0.000241418979164,95.7337710951,0.00162272668828,5.80958676899
21,994815.200866,5.85728437684e-09,20.2592154043,0.0583781341091,4.07994413554e-09,2.67481775676e-07,0.022927208772,5.24871825565e-11,0.0132722910397,3.0602296535e-08
22,569.120603768,1.27137510984e-11,0.00101154108054,0.000651054991687,241418.703287,4.88825637003e-06,0.000842994319225,9.11752223715e-10,1.91758135479e-06,1.39278017883e-09
23,2.68568827187e-13,0.00752733993391,6.13985748078e-20,9.69855814849e-21,4.92641908298e-22,6.70666189796e-18,4.95049743631e-21,2.99501466987e-14,4.9353663099e-17,6.53406107188e+21
24,9.56954087821e-07,2.25942939883e-09,0.00116643548286,5.9326979364,12961.0830533,17.8004345491,6.98247540901e-07,0.0632820065292,5.53834577799e-09,8.35370170783e-07
25,0.0216973071305,0.00019662051621,169.921633738,0.0108633782438,0.0301422559366,4.93954013216e-05,0.0502999787821,0.151496721334,0.0110749983808,0.102245052491
26,0.00441873342354,0.000110257830827,1.66770830224,0.0453283345132,31.0024593138,0.00191649465603,1.57172068647,1.25708072241,0.00965058658088,0.00744012269511
27,4306083.715,9.34071100047e-08,1.06867583691,1.87273456625e-07,0.00340159520199,4.05949240021e-08,4.37418498681e-06,3.10725942224e-08,0.00209751551187,1.1191101072e-07
28,1.94092891388e-10,0.0328260851327,4.73832293109e-11,2.9239038366e-06,9.01628110707e-11,1.30787076583e-07,4.78844012011e-10,1.08880564122e-07,4.78428630556e-10,18038464784.4
29,7.61034659722e-11,1.08359365218e-06,1.57409246409e-06,0.0719463035489,0.000216741997354,1.90652661875e-05,17298759.0331,6.17861809997e-11,1.38715779304e-08,3.77252215076e-07
30,6.80128255167e-06,1.25544222502e-05,11.1309336786,0.021133422227,0.0246607809538,5.74909168366e-05,7929.45190228,8.19227493177e-07,8.50568692265e-05,2.46954984538e-05
31,1.57067790463e-08,6.78324803018e-10,0.0165524195422,4.50758862978,0.00355687947753,164474.124229,6.65590422913e-05,1.05648887828e-05,3.30388652678e-10,1.408845859e-07
32,0.00207137816925,4.77322404409e-05,4.71774721579,1.82354801717,57.1909562665,0.0889744793919,0.0748114087982,0.00779915985779,0.000490122434659,0.000772939033215
33,4.43974141341e-05,7.58635540279e-05,0.0180685362283,159.028389559,0.010643999832,470.404547271,0.00543117371981,0.000207761993906,7.01127536316e-05,0.000127490921389
34,7.25760771705e-05,2.56220117581e-07,1.76749095582e-15,4.27019999025e-14,1.1061145535e-14,1.03565721149e-11,1.39392720145e-18,7.95536513829e-08,1.87596783061e-13,1.69022929893e+15
